# Matrix: lhr07c
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/lhr07c.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:11:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 7337
# Cols: 7337
# NNZ(A): 156508
# NNZ(C) estimate: 3427543
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.17      0.14      0.28      0.68         10.11     | 9040     0        0        22619    1556     | 1      37912          822313       -       
8      8      1      1/8    | 0.10      0.18      0.14      0.31      0.74         9.24      | 9040     0        0        22619    1556     | 8      37912          822313       -       
8      8      2      2/8    | 0.09      0.18      0.14      0.32      0.74         9.28      | 9040     0        4123     18496    1556     | 16     37912          822313       -       
8      8      3      3/8    | 0.10      0.18      0.13      0.32      0.74         9.25      | 9040     0        7624     14995    1556     | 24     37912          822313       -       
8      8      4      4/8    | 0.09      0.19      0.13      0.30      0.72         9.52      | 9040     0        14530    8089     1556     | 32     37912          822313       -       
8      8      5      5/8    | 0.10      0.18      0.12      0.31      0.73         9.42      | 9040     0        19147    3472     1556     | 40     37912          822313       -       
8      8      6      6/8    | 0.09      0.18      0.13      0.31      0.72         9.49      | 9040     0        21064    1555     1556     | 48     37912          822313       -       
8      8      7      7/8    | 0.10      0.18      0.14      0.31      0.74         9.20      | 9040     0        22417    202      1556     | 56     37912          822313       -       
8      8      8      8/8    | 0.08      0.18      0.16      0.29      0.71         9.59      | 9040     0        24175    0        0        | 64     37912          822313       -       
8      16     0      0/8    | 0.09      0.18      0.14      0.30      0.73         9.44      | 9040     0        0        22619    1556     | 1      42169          822313       -       
8      16     1      1/8    | 0.08      0.17      0.14      0.29      0.70         9.84      | 9040     0        0        22619    1556     | 8      42169          822313       -       
8      16     2      2/8    | 0.08      0.18      0.14      0.29      0.69         9.89      | 9040     0        4123     18496    1556     | 16     42169          822313       -       
8      16     3      3/8    | 0.10      0.18      0.13      0.31      0.73         9.36      | 9040     0        7624     14995    1556     | 24     42169          822313       -       
8      16     4      4/8    | 0.09      0.17      0.13      0.29      0.69         9.98      | 9040     0        14530    8089     1556     | 32     42169          822313       -       
8      16     5      5/8    | 0.09      0.18      0.12      0.29      0.69         9.86      | 9040     0        19147    3472     1556     | 40     42169          822313       -       
8      16     6      6/8    | 0.09      0.18      0.12      0.28      0.68         10.07     | 9040     0        21064    1555     1556     | 48     42169          822313       -       
8      16     7      7/8    | 0.08      0.18      0.14      0.29      0.69         9.86      | 9040     0        22417    202      1556     | 56     42169          822313       -       
8      16     8      8/8    | 0.08      0.18      0.15      0.28      0.70         9.81      | 9040     0        24175    0        0        | 64     42169          822313       -       
8      32     0      0/8    | 0.10      0.20      0.20      0.32      0.84         8.16      | 9040     0        0        22619    1556     | 1      49246          822313       -       
8      32     1      1/8    | 0.09      0.20      0.20      0.29      0.78         8.77      | 9040     0        0        22619    1556     | 8      49246          822313       -       
8      32     2      2/8    | 0.09      0.21      0.19      0.30      0.79         8.63      | 9040     0        4123     18496    1556     | 16     49246          822313       -       
8      32     3      3/8    | 0.08      0.20      0.17      0.29      0.75         9.14      | 9040     0        7624     14995    1556     | 24     49246          822313       -       
8      32     4      4/8    | 0.08      0.20      0.16      0.29      0.74         9.31      | 9040     0        14530    8089     1556     | 32     49246          822313       -       
8      32     5      5/8    | 0.09      0.19      0.15      0.28      0.72         9.55      | 9040     0        19147    3472     1556     | 40     49246          822313       -       
8      32     6      6/8    | 0.08      0.20      0.15      0.29      0.72         9.56      | 9040     0        21064    1555     1556     | 48     49246          822313       -       
8      32     7      7/8    | 0.08      0.20      0.15      0.28      0.71         9.61      | 9040     0        22417    202      1556     | 56     49246          822313       -       
8      32     8      8/8    | 0.09      0.19      0.16      0.29      0.73         9.39      | 9040     0        24175    0        0        | 64     49246          822313       -       
16     8      0      0/8    | 0.08      0.17      0.12      0.24      0.61         11.20     | 4954     0        0        6671     225      | 1      12989          822313       -       
16     8      1      1/8    | 0.08      0.17      0.12      0.24      0.61         11.18     | 4954     0        0        6671     225      | 32     12989          822313       -       
16     8      2      2/8    | 0.10      0.18      0.12      0.26      0.67         10.22     | 4954     0        1763     4908     225      | 64     12989          822313       -       
16     8      3      3/8    | 0.09      0.17      0.12      0.24      0.63         10.92     | 4954     0        3096     3575     225      | 96     12989          822313       -       
16     8      4      4/8    | 0.11      0.18      0.12      0.26      0.67         10.19     | 4954     0        4538     2133     225      | 128    12989          822313       -       
16     8      5      5/8    | 0.08      0.17      0.17      0.23      0.66         10.39     | 4954     0        5808     863      225      | 160    12989          822313       -       
16     8      6      6/8    | 0.10      0.18      0.20      0.26      0.75         9.18      | 4954     0        6236     435      225      | 192    12989          822313       -       
16     8      7      7/8    | 0.10      0.17      0.22      0.24      0.73         9.35      | 4954     0        6549     122      225      | 224    12989          822313       -       
16     8      8      8/8    | 0.10      0.18      0.22      0.26      0.77         8.89      | 4954     0        6896     0        0        | 256    12989          822313       -       
16     16     0      0/8    | 0.09      0.16      0.13      0.25      0.63         10.86     | 4954     0        0        6671     225      | 1      13963          822313       -       
